Country,Export Commodity(Tonees),Commodity_Name
Togo,129.8K,Soya beans
Fiji,127.7K,Raw cane or beet sugar (centrifugal only)
Liberia,121K,Natural rubber in other forms
Angola,118.7K,Bran of wheat
Lebanon,114.4K,Apples
Nepal,113.3K,Palm oil
Switzerland,108.1K,Food preparations n.e.c.
Yemen,107.3K,"Onions and shallots, dry (excluding dehydrated)"
Jordan,103.6K,"Eggs from other birds in shell, fresh, n.e.c."
Malawi,100.4K,Unmanufactured tobacco
Rwanda,94.6K,"Rice, paddy (rice milled equivalent)"
North Macedonia,82.5K,Apples
Niger,82.2K,"Onions and shallots, dry (excluding dehydrated)"
Tajikistan,81K,"Cotton lint, ginned"
Guinea,78.9K,"Cashew nuts, in shell"
Bahrain,72.8K,Processed cheese
Chad,69.7K,Sesame seed
South Sudan,69.1K,Lucerne (alfalfa) meal and pellets
Cyprus,63K,Potatoes
Kuwait,60.8K,Wheat and meslin flour
Kyrgyzstan,59.1K,Potatoes
DR Congo,52.5K,Bran of wheat
Turkmenistan,47.5K,Tomatoes
Madagascar,46.7K,"Cloves (whole stems), raw"
Syria,46.1K,Olive oil
Bosnia and Herzegovina,45.1K,Raw milk of cattle
Equatorial Guinea,43.6K,"Meat of chickens, fresh or chilled"
Armenia,43K,Tomatoes
Gabon,38.8K,Palm oil
Suriname,37.7K,"Rice, paddy (rice milled equivalent)"
Albania,33.8K,Cucumbers and gherkins
Georgia,33.2K,Cake of soya beans
Venezuela,30.7K,"Beans, dry"
Solomon Islands,30.2K,Palm oil
Lesotho,27.7K,Wheat and meslin flour
Republic of the Congo,25.3K,Bran of wheat
Bhutan,23.8K,Potatoes
Mongolia,23.3K,Rape or colza seed
Gambia,21.7K,"Cashew nuts, in shell"
Sierra Leone,20.7K,Palm oil
Namibia,18.9K,"Meat of chickens, fresh or chilled"
Trinidad and Tobago,18.5K,Food preparations n.e.c.
Botswana,18K,Bran of maize
Jamaica,15.7K,Yams
Vanuatu,14K,Copra
Burundi,12.2K,"Coffee, green"
Saint Vincent and the Grenadines,11.6K,Wheat and meslin flour
North Korea,10K,"Beans, dry"
Brunei,9.6K,Compound feed n.e.c.
Mauritania,9.3K,"Cotton lint, ginned"
Palestine,8.1K,Dates
Haiti,6.1K,"Mangoes, guavas and mangosteens"
Sao Tome and Principe,6.1K,Palm oil
Grenada,5.7K,Wheat and meslin flour
Barbados,5.5K,Wheat and meslin flour
French Polynesia,5.4K,Coconut oil
Comoros,5.3K,"Cloves (whole stems), raw"
Somalia,4.9K,Lemons and limes
Timor-Leste,4.2K,"Coffee, green"
Libya,4K,Sugar cane
Saint Lucia,3.9K,Bananas
Iceland,3.1K,"Meat of sheep, fresh or chilled"
Malta,2.1K,"Other oil of vegetable origin, crude n.e.c."
Montenegro,2K,Watermelons
Samoa,1.9K,Coconut oil
Kiribati,1.9K,Copra
Tonga,1.4K,"Cassava, dry"
Seychelles,845,Compound feed n.e.c.
Qatar,844,Bananas
Central African Republic,647,Palm oil
Dominica,516,"Groundnuts, shelled"
Saint Kitts and Nevis,78,Tea leaves
New Caledonia,63,Coconut oil
Niue,24,Taro
Nauru,22,"Mangoes, guavas and mangosteens"
Cook Islands,11,Taro
Bahamas,6,"Grapefruit juice, concentrated"
Eritrea,3,Juice of fruits n.e.c.
Maldives,1,Areca nuts
