Country,Gini coefficient(World_bank)%,DataYear(World_bank),Gini coefficient(CIA)%,DataYear(CIA)
Syria,26.60%,2022,26.60%,2022
Belgium,26.60%,2021,26.60%,2021
United Arab Emirates,26.40%,2018,26%,2018
Kyrgyzstan,26.40%,2022,28.80%,2021
Czech Republic,26.20%,2021,26.20%,2021
Iceland,26.10%,2017,26.10%,2017
Netherlands,25.70%,2021,25.70%,2021
Moldova,25.70%,2021,25.70%,2021
Ukraine,25.60%,2020,25.60%,2020
Belarus,24.40%,2020,24.40%,2020
Slovenia,24.30%,2021,24.30%,2021
Slovakia,24.10%,2021,24.10%,2021
Afghanistan,-,,-,
Saudi Arabia,-,,-,
Ivory Coast,-,,35.30%,2021
Nepal,-,,-,
North Korea,-,,-,
Taiwan,-,,33.60%,2014
Somalia,-,,36.80%,2017
Cambodia,-,,-,
Cuba,-,,-,
Azerbaijan,-,,-,
Libya,-,,-,
Hong Kong,-,,53.90%,2016
Singapore,-,,45.90%,2017
Lebanon,-,,-,
Oman,-,,-,
New Zealand,-,,-,
Kuwait,-,,-,
Eritrea,-,,-,
Puerto Rico,-,,-,
Equatorial Guinea,-,,-,
Bahrain,-,,-,
Reunion,-,,-,
Macau,-,,-,
Western Sahara,-,,-,
Cape Verde,-,,42.40%,2015
Brunei,-,,-,
Belize,-,,-,
Bahamas,-,,-,
Guadeloupe,-,,-,
Martinique,-,,-,
Mayotte,-,,-,
French Guiana,-,,-,
New Caledonia,-,,-,
Barbados,-,,-,
French Polynesia,-,,-,
Samoa,-,,-,
Curacao,-,,-,
Guam,-,,-,
Aruba,-,,-,
Jersey,-,,0.30%,2014
Saint Vincent and the Grenadines,-,,-,
Antigua and Barbuda,-,,-,
United States Virgin Islands,-,,-,
Isle of Man,-,,-,
Andorra,-,,-,
Cayman Islands,-,,-,
Dominica,-,,-,
Bermuda,-,,-,
Guernsey,-,,-,
Faroe Islands,-,,-,
Greenland,-,,33.90%,2015
Saint Kitts and Nevis,-,,-,
Turks and Caicos Islands,-,,-,
American Samoa,-,,-,
Sint Maarten,-,,-,
Northern Mariana Islands,-,,-,
Liechtenstein,-,,-,
Gibraltar,-,,-,
British Virgin Islands,-,,-,
Monaco,-,,-,
San Marino,-,,-,
Saint Martin,-,,-,
Palau,-,,-,
Anguilla,-,,-,
Cook Islands,-,,-,
Saint Barthelemy,-,,-,
Wallis and Futuna,-,,-,
Saint Pierre and Miquelon,-,,-,
Montserrat,-,,-,
Falkland Islands,-,,36%,2015
Tokelau,-,,-,
Niue,-,,-,
Vatican City,-,,-,
