Export commodity(Tons),commodity_name,Billionaires per Million people,Billionaire_Name,RichestNetworld(Bn),CrimeIndex,SafetyIndex,Spend on Education %,education.spend per student,Gini coefficient(World_bank)%,Gini coefficient(CIA)%,Area(km),Density,Population_Change%,Global_pop%,Population.Rank,GlobalPeaceIndex(GPI)2024(1-5),Safety_index,GDP.Rank,GDP(IMF'24),GDP(UN'22),GDP PER CAPITAL,Population,Country,Year
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
30.7K,"Beans, dry",0.035,Juan Carlos Escotet,$4.40,81.2,18.8,,,44.70%,,916.4K,32,0.0039,0.36%,53,2.821,33,69,$102.33 Bn,$129.31 Bn,"$3,588",28516900,Venezuela,2006
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
271.9K,"Onions and shallots, dry (excluding dehydrated)",,,,78.3,21.7,0.043,,,,652.2K,67,0.0281,0.55%,36,3.294,14,189,$0,$14.18 Bn,$323,43844100,Afghanistan,2017
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2021
874.9K,Palm oil,,,,79.7,20.3,0.013,,41.90%,,462.8K,24,0.0176,0.13%,90,2.315,47,108,$31.72 Bn,$31.61 Bn,"$2,947",10762800,Papua New Guinea,2009
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2022
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2021
2.3M,"Rice, paddy (rice milled equivalent)",0.288,Zhong Shanshan,$62.30,24.9,75.1,0.04,,35.70%,37.10%,9.7M,150,0.0023,17.69%,2,2.101,66,2,$18.53 Tn,$17.96 Tn,"$13,087",1416100000,China,2020
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2022
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
22.1M,"Rice, paddy (rice milled equivalent)",0.144,Mukesh Ambani,$116,44.3,55.7,0.041,,32.80%,32.80%,3.3M,492,0.0089,18.29%,1,2.319,47,5,$3.94 Tn,$3.47 Tn,"$2,689",1463870000,India,2021
6.1K,"Mangoes, guavas and mangosteens",,,,77.9,22.1,0.013,,41.10%,,27.8K,432,0.0113,0.15%,82,2.827,42,116,$24.05 Bn,$18.75 Bn,"$2,020",11906100,Haiti,2022
6.1K,"Mangoes, guavas and mangosteens",,,,77.9,22.1,0.013,,41.10%,,27.8K,432,0.0113,0.15%,82,2.827,42,116,$24.05 Bn,$18.75 Bn,"$2,020",11906100,Haiti,2012
6.1K,"Mangoes, guavas and mangosteens",,,,77.9,22.1,0.013,,41.10%,,27.8K,432,0.0113,0.15%,82,2.827,42,116,$24.05 Bn,$18.75 Bn,"$2,020",11906100,Haiti,2022
